Date,samsung,kospi,index,sp500,rate,Volume,EXIM,GDP
2017-01-02,36100,2026.16,100.3,2257.83,1203.93,229880000,3401.7,"450,374.80"
2017-01-03,36480,2043.97,100.3,2257.83,1206.82,268130000,3401.7,"450,374.80"
2017-01-04,36160,2045.64,100.3,2270.75,1196.15,371490000,3401.7,"450,374.80"
2017-01-05,35560,2041.95,100.3,2269,1182.19,541340000,3401.7,"450,374.80"
2017-01-06,36200,2049.12,100.3,2276.98,1202,455350000,3401.7,"450,374.80"
2017-01-09,37220,2048.78,100.3,2268.9,1203.36,398290000,3401.7,"450,374.80"
2017-01-10,37240,2045.12,100.3,2268.9,1201.8,512660000,3401.7,"450,374.80"
2017-01-11,38280,2075.17,100.3,2275.32,1187.88,335530000,3401.7,"450,374.80"
2017-01-12,38800,2087.14,100.3,2270.44,1175.91,555840000,3401.7,"450,374.80"
2017-01-13,37460,2076.79,100.3,2274.64,1175,518280000,3401.7,"450,374.80"
2017-01-16,36660,2064.17,100.3,2271.265,1183.38,683930000,3401.7,"450,374.80"
2017-01-17,36960,2071.87,100.3,2267.89,1160.84,601440000,3401.7,"450,374.80"
2017-01-18,36940,2070.54,100.3,2271.89,1178.38,530130000,3401.7,"450,374.80"
2017-01-19,37480,2072.79,100.3,2263.69,1175.18,415670000,3401.7,"450,374.80"
2017-01-20,37200,2065.61,100.3,2271.31,1175.39,392650000,3401.7,"450,374.80"
2017-01-23,38060,2065.99,100.3,2265.2,1163.23,444860000,3401.7,"450,374.80"
2017-01-24,38160,2065.76,100.3,2280.07,1170.23,312410000,3401.7,"450,374.80"
2017-01-25,39400,2066.94,100.3,2298.37,1162.7,310240000,3401.7,"450,374.80"
2017-01-26,39900,2083.59,100.3,2296.68,1172.39,257920000,3401.7,"450,374.80"
2017-01-31,39460,2067.57,100.3,2278.87,1151.65,288280000,3401.7,"450,374.80"
2017-02-01,39120,2080.48,100.5,2279.55,1153.71,452530000,7438.6,"450,374.80"
2017-02-02,39360,2071.01,100.5,2280.85,1144.1,825480000,7438.6,"450,374.80"
2017-02-03,39460,2073.16,100.5,2297.42,1138.52,392580000,7438.6,"450,374.80"
2017-02-06,39560,2077.66,100.5,2292.56,1134.99,315320000,7438.6,"450,374.80"
2017-02-07,38820,2075.21,100.5,2293.08,1143.39,271810000,7438.6,"450,374.80"
2017-02-08,38400,2065.08,100.5,2294.67,1145.2,266720000,7438.6,"450,374.80"
2017-02-09,38400,2065.88,100.5,2307.87,1151.02,236010000,7438.6,"450,374.80"
2017-02-10,38360,2075.08,100.5,2316.1,1146.6,314680000,7438.6,"450,374.80"
2017-02-13,37960,2078.65,100.5,2328.25,1149.71,289680000,7438.6,"450,374.80"
2017-02-14,37580,2074.57,100.5,2337.58,1138.89,332370000,7438.6,"450,374.80"
2017-02-15,37720,2083.86,100.5,2349.25,1135.28,338040000,7438.6,"450,374.80"
2017-02-16,38020,2081.84,100.5,2347.22,1141.99,330470000,7438.6,"450,374.80"
2017-02-17,37860,2080.58,100.5,2351.16,1150.78,301520000,7438.6,"450,374.80"
2017-02-20,38660,2084.39,100.5,2358.27,1145.38,297200000,7438.6,"450,374.80"
2017-02-21,38940,2102.93,100.5,2365.38,1142.89,292540000,7438.6,"450,374.80"
2017-02-22,39300,2106.61,100.5,2362.82,1138.48,312220000,7438.6,"450,374.80"
2017-02-23,39180,2107.63,100.5,2363.81,1133.1,430850000,7438.6,"450,374.80"
2017-02-24,38220,2094.12,100.5,2367.34,1130.5,385400000,7438.6,"450,374.80"
2017-02-27,38060,2085.52,100.5,2369.75,1134.65,343700000,7438.6,"450,374.80"
2017-02-28,38440,2091.64,100.5,2363.64,1137.8,399820000,7438.6,"450,374.80"
2017-03-02,39720,2102.65,100.6,2381.92,1150.71,434710000,5140.3,"450,374.80"
2017-03-03,39620,2078.75,100.6,2383.12,1152.32,425940000,5140.3,"450,374.80"
2017-03-06,40080,2081.36,100.6,2375.31,1155.15,431440000,5140.3,"450,374.80"
